iter	MultiClass
0	2.426924419
1	2.261470669
2	2.142665228
3	2.052203598
4	1.974204397
5	1.91142747
6	1.856699444
7	1.805795772
8	1.760031717
9	1.713922207
10	1.673801389
11	1.636890282
12	1.604019103
13	1.578913989
14	1.550158164
15	1.524436436
16	1.499452618
17	1.475766475
18	1.456357788
19	1.438132796
20	1.418224711
21	1.401087305
22	1.389519965
23	1.372161355
24	1.355302706
25	1.34226433
26	1.32769793
27	1.319054367
28	1.306992131
29	1.295023612
30	1.284328283
31	1.273836146
32	1.26517837
33	1.254999747
34	1.244284999
35	1.236595765
36	1.228734859
37	1.221979551
38	1.215878146
39	1.207356865
40	1.200025188
41	1.19255547
42	1.18585884
43	1.17894551
44	1.172938735
45	1.167108911
46	1.160841954
47	1.153552914
48	1.148787669
49	1.142413277
50	1.136791992
51	1.133557516
52	1.127907947
53	1.124082116
54	1.121033031
55	1.116711953
56	1.112554386
57	1.106745598
58	1.102904711
59	1.099552104
60	1.096414158
61	1.093726852
62	1.090687055
63	1.085765476
64	1.081906365
65	1.078296532
66	1.075425241
67	1.07324261
68	1.07162122
69	1.06887791
70	1.066556885
71	1.062572679
72	1.060402501
73	1.05741498
74	1.055017688
75	1.05093273
76	1.04738671
77	1.045480725
78	1.04430097
79	1.042054524
80	1.0398536
81	1.036402563
82	1.034538933
83	1.031274907
84	1.029340356
85	1.027024045
86	1.025524515
87	1.023906996
88	1.021238898
89	1.018344389
90	1.017117002
91	1.013126182
92	1.010983373
93	1.009528802
94	1.006836008
95	1.004957954
96	1.003636288
97	1.00149355
98	1.000506504
99	0.9972668211
100	0.9954712969
101	0.992086748
102	0.9893069221
103	0.9882562027
104	0.986883457
105	0.9859012659
106	0.9840918109
107	0.9826527181
108	0.9825173502
109	0.9811234972
110	0.9802369923
111	0.9775199956
112	0.9768013638
113	0.9761094679
114	0.9749081131
115	0.9748456356
116	0.9724606561
117	0.9714522216
118	0.968483345
119	0.9677713268
120	0.9672174019
121	0.9659383021
122	0.9645146175
123	0.9640822705
124	0.9625541753
125	0.9619477638
126	0.9608252797
127	0.9594363518
128	0.9589824753
129	0.9583110534
130	0.9568633066
131	0.9557525019
132	0.9544572902
133	0.9539450874
134	0.9532012676
135	0.9528175376
136	0.9519193534
137	0.950422497
138	0.9493382171
139	0.9484817549
140	0.9476047483
141	0.9468153368
142	0.9457668689
143	0.9446939166
144	0.9435826898
145	0.9426694491
146	0.9422190905
147	0.942128259
148	0.9414977148
149	0.9406044556
150	0.9398456497
151	0.9397628388
152	0.938691364
153	0.9380714438
154	0.9376310761
155	0.9375643068
156	0.9370608987
157	0.9361152231
158	0.9343422837
159	0.9337067442
160	0.9331578148
161	0.9328348033
162	0.9322659627
163	0.9318545822
164	0.9313171914
165	0.9311315179
166	0.9294290064
167	0.9282577647
168	0.9276557856
169	0.9271566693
170	0.9264261471
171	0.924965173
172	0.9240318804
173	0.9233121932
174	0.9229727885
175	0.9218833725
176	0.9214423716
177	0.9202121702
178	0.9195831035
179	0.9187371949
180	0.9179718457
181	0.917659599
182	0.917275658
183	0.9172363985
184	0.9169090249
185	0.9162480863
186	0.9158682963
187	0.9149437984
188	0.9148889195
189	0.9137223917
190	0.9127318984
191	0.9126608373
192	0.912587173
193	0.9113090581
194	0.9107750445
195	0.9107120745
196	0.9102274518
197	0.9091250197
198	0.9090527625
199	0.9082102311
200	0.9081615437
201	0.9076188761
202	0.9068015327
203	0.90606109
204	0.9048985726
205	0.9044840964
206	0.9039166629
207	0.9034772801
208	0.9024753186
209	0.9012288646
210	0.9003719803
211	0.899917752
212	0.8981867458
213	0.8981194136
214	0.8977819789
215	0.8973669398
216	0.897133775
217	0.895956975
218	0.8958888689
219	0.895814712
220	0.8957357709
221	0.8949315843
222	0.8948741726
223	0.8938563102
224	0.8937799019
225	0.8934920693
226	0.8930924385
227	0.8927100454
228	0.8924653419
229	0.8914115972
230	0.8906655259
231	0.8901665503
232	0.8893087514
233	0.8886753225
234	0.8885851945
235	0.888308408
236	0.8879660483
237	0.8873144672
238	0.8870179102
239	0.8869636646
240	0.8864724283
241	0.8857537965
242	0.8854928404
243	0.8851342985
244	0.8844913714
245	0.8841387394
246	0.8834295355
247	0.8831235506
248	0.8825407792
249	0.8822044702
250	0.8818239064
251	0.8807801524
252	0.8804263948
253	0.8796488034
254	0.8792087874
255	0.8791608739
256	0.8780401488
257	0.8779831592
258	0.8776469206
259	0.877334885
260	0.876624485
261	0.8765715058
262	0.8760677459
263	0.8756791612
264	0.8747981442
265	0.8744353105
266	0.8737303984
267	0.8731333444
268	0.8721309607
269	0.8713017972
270	0.8709199669
271	0.8708501722
272	0.8705215322
273	0.8702695115
274	0.8699724621
275	0.8698989384
276	0.8698392753
277	0.8697861553
278	0.8692247726
279	0.8691745373
280	0.8686700035
281	0.8683066069
282	0.8673170282
283	0.8667673248
284	0.8660757103
285	0.8660042974
286	0.865931196
287	0.865865482
288	0.8654889285
289	0.8651358745
290	0.8650408918
291	0.8649624432
292	0.8640957088
293	0.8636508381
294	0.8628792974
295	0.8627747462
296	0.8627342202
297	0.8623373334
298	0.862061743
299	0.8615202011
300	0.8610248841
301	0.8607770848
302	0.8600339686
303	0.8599849294
304	0.8599074658
305	0.8598470287
306	0.859810091
307	0.8594165813
308	0.8585961422
309	0.857429544
310	0.8570975971
311	0.857026325
312	0.8566869203
313	0.8563415351
314	0.8555580337
315	0.8554873244
316	0.8550557513
317	0.8542558566
318	0.8542056916
319	0.8537327483
320	0.8536629537
321	0.8535982951
322	0.8535228718
323	0.8534824866
324	0.8525281571
325	0.852049937
326	0.8510749927
327	0.850748182
328	0.8503645224
329	0.8497546633
330	0.8496954926
331	0.8496227429
332	0.8491888481
333	0.849083171
334	0.8484454504
335	0.8475829375
336	0.8468237094
337	0.8465662008
338	0.8464931697
339	0.8460936796
340	0.8460533648
341	0.8454621505
342	0.8452671194
343	0.8451556731
344	0.8447553387
345	0.8442068314
346	0.8441527265
347	0.8438444198
348	0.8432266807
349	0.8428257131
350	0.8427834986
351	0.8423048564
352	0.841885033
353	0.8418448588
354	0.8417923018
355	0.841546754
356	0.8410916111
357	0.8406337947
358	0.8397629796
359	0.8397082414
360	0.8396416832
361	0.839207929
362	0.8388445324
363	0.8379415639
364	0.8376392375
365	0.8358443466
366	0.8357778588
367	0.8354468266
368	0.8353697147
369	0.8350259479
370	0.8347010368
371	0.8346208292
372	0.8344367739
373	0.8340632458
374	0.8332443545
375	0.8329146591
376	0.8325851748
377	0.8323024783
378	0.8315236204
379	0.8314717669
380	0.8307942239
381	0.8307166899
382	0.8305600741
383	0.8301140777
384	0.8300577917
385	0.8300031239
386	0.8290219881
387	0.8289548671
388	0.8283447969
389	0.828037827
390	0.8279867475
391	0.8279074545
392	0.8272031757
393	0.8271555436
394	0.8267354388
395	0.826488906
396	0.8264254435
397	0.8261364852
398	0.8254623193
399	0.8254279848
400	0.8246737521
401	0.824057772
402	0.8232250906
403	0.8231719707
404	0.8225630966
405	0.822305377
406	0.8222444474
407	0.8222061729
408	0.8216851754
409	0.8216279747
410	0.8211963313
411	0.8209530349
412	0.8208828181
413	0.8208410258
414	0.8205011989
415	0.8202370767
416	0.8196604968
417	0.8189292006
418	0.8188907151
419	0.8181593485
420	0.8181099576
421	0.817774915
422	0.8173341954
423	0.8166402591
424	0.8164297494
425	0.8155576678
426	0.8153375191
427	0.8149353555
428	0.8146190984
429	0.8142915138
430	0.813784447
431	0.8135072384
432	0.813471356
433	0.8130894554
434	0.8130373204
435	0.8129954577
436	0.8125917462
437	0.812231375
438	0.8121768479
439	0.8121164108
440	0.8117160764
441	0.8108895162
442	0.8105822648
443	0.8103379835
444	0.8098491394
445	0.8095809365
446	0.8083080281
447	0.8074735878
448	0.8068037841
449	0.8067334969
450	0.8066825581
451	0.806463324
452	0.806223827
453	0.805814698
454	0.8057333647
455	0.8049986913
456	0.8046984054
457	0.804501334
458	0.8040931196
459	0.8040504126
460	0.8037295822
461	0.803686242
462	0.8036466307
463	0.8035930886
464	0.8035513666
465	0.8030348016
466	0.8029893507
467	0.8027355007
468	0.8022399023
469	0.8017938356
470	0.8016153385
471	0.8012893721
472	0.8005587091
473	0.8002454774
474	0.799759729
475	0.7993926738
476	0.7989390085
477	0.7988963718
478	0.7983301344
479	0.7977915475
480	0.7974300505
481	0.7966028571
482	0.7965514961
483	0.7964585538
484	0.7962060406
485	0.7959437477
486	0.795319395
487	0.7944449917
488	0.7941135374
489	0.7937397278
490	0.7930758342
491	0.7930395297
492	0.7924051158
493	0.7917216628
494	0.7914820251
495	0.7911232017
496	0.790803286
497	0.7905934095
498	0.7902501351
499	0.7902095388
500	0.789750667
501	0.7894173834
502	0.7890893062
503	0.788537281
504	0.7876089135
505	0.7875186447
506	0.786811833
507	0.7866196866
508	0.786054786
509	0.7859956857
510	0.7856614171
511	0.7856136443
512	0.7852253411
513	0.7846667023
514	0.7846149895
515	0.7842216206
516	0.784172511
517	0.7841269194
518	0.7839044488
519	0.7834145494
520	0.7831228471
521	0.7830869647
522	0.7827908299
523	0.7824410122
524	0.7823846559
525	0.7818451543
526	0.7817516492
527	0.7817130933
528	0.7816593401
529	0.7813504706
530	0.7810247152
531	0.7809772942
532	0.7809371904
533	0.780309742
534	0.78013814
535	0.7796024377
536	0.7792510722
537	0.7788744484
538	0.7782648708
539	0.7782159723
540	0.7778609482
541	0.7776671132
542	0.776972614
543	0.776713628
544	0.7762024102
545	0.7758858013
546	0.7755625788
547	0.774843947
548	0.7746734004
549	0.7734532601
550	0.7731489638
551	0.7728528289
552	0.7726210712
553	0.7725825857
554	0.7725289029
555	0.7724560125
556	0.7724143608
557	0.7720423102
558	0.7720012918
559	0.771955489
560	0.7717408282
561	0.7714669967
562	0.771430059
563	0.7710170603
564	0.7704612358
565	0.7702490375
566	0.7698785348
567	0.7693199663
568	0.7689194913
569	0.7686024603
570	0.7682942943
571	0.7679768411
572	0.7675634203
573	0.7675062196
574	0.7674689301
575	0.7674333996
576	0.7669614413
577	0.7669201414
578	0.7662858683
579	0.7661004058
580	0.7657757762
581	0.7655496471
582	0.7654881546
583	0.7649305712
584	0.7646823498
585	0.7641946314
586	0.7632935626
587	0.7630036895
588	0.7626988304
589	0.7624130381
590	0.7622426322
591	0.7618119034
592	0.7612650847
593	0.7612052104
594	0.7606502302
595	0.76041601
596	0.7602561577
597	0.7599821855
598	0.7590543104
599	0.7587598641
600	0.7587047038
601	0.7586679068
602	0.7583497501
603	0.7577864677
604	0.7574925843
605	0.7574536062
606	0.7570392004
607	0.7565592917
608	0.7562895409
609	0.7560726287
610	0.7559797567
611	0.755729495
612	0.7549013869
613	0.7542460769
614	0.7542095613
615	0.7541525014
616	0.7540828474
617	0.7540407032
618	0.753535888
619	0.7533234786
620	0.7532402456
621	0.7532049262
622	0.7531611638
623	0.7525912678
624	0.7518557502
625	0.7515154308
626	0.7512616512
627	0.7512116974
628	0.75091704
629	0.7506237899
630	0.7505651117
631	0.7505329583
632	0.7503075328
